miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	1.096704	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.548352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	1.645056	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	3.838464	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	9.870337	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	106	58.125316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2824	1548.546154	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5316	2915.039432	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13781	7556.839430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	365	200.148494	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	4.935168	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	2.741760	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	3.290112	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	24	13.160449	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.548352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.548352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	3.290112	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	21	11.515393	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	1.645056	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	2.741760	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	1.096704	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.548352	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.548352	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	28	15.353857	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	32	17.547265	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.548352	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	1.096704	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	47	25.772546	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	10	5.483520	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	11	6.031872	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.548352	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.548352	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.548352	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	300	164.505611	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	8	4.386816	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	21	11.515393	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	1.096704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	25	13.708801	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	13639	7478.973441	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.096704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	1.096704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	7	3.838464	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.548352	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	2.193408	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5505	3018.677967	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	1.096704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	6	3.290112	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2883	1580.898924	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.548352	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	126	69.092357	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.548352	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	1.096704	N	precursor
hsa-let-7a-3	hg38:chr22:46112748-46112770:+	1	0.548352	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	1.645056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	19	10.418689	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	41	22.482434	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	37	20.289025	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	108	59.222020	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2760	1513.451624	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5437	2981.390029	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	13735	7531.615237	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	343	188.084749	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	1.096704	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.548352	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.548352	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	1.096704	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	25	13.708801	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	3	1.645056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	3.290112	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	14	7.676929	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	6	3.290112	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	2	1.096704	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	10	5.483520	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	29	15.902209	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	26	14.257153	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	1.096704	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.548352	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.548352	N	precursor
hsa-let-7b	hg38:chr22:46113687-46113713:+	2	1.096704	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.548352	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	12	6.580224	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	34	18.643969	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	848	465.002528	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	19562	10726.862560	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6319	3465.036526	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	16445	9017.649259	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3902	2139.669651	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	1.645056	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	9	4.935168	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	19	10.418689	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	44	24.127490	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	14	7.676929	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	6	3.290112	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	1.096704	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	22	12.063745	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	6	3.290112	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	5	2.741760	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	1.645056	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.548352	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.548352	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	6	3.290112	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.548352	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.548352	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	25	13.708801	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	97	53.190148	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	1.096704	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	1.096704	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	1.645056	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	8	4.386816	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.548352	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	1.645056	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	25	13.708801	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	60	32.901122	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	73	40.029699	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	1.096704	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539862:+	1	0.548352	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	449	246.210065	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1705	934.940224	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1872	1026.515014	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	9882	5418.814836	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	404	221.534223	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	6	3.290112	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	3	1.645056	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	38	20.837377	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	1.096704	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539862:+	1	0.548352	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.548352	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	8	4.386816	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.548352	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539862:+	1	0.548352	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.548352	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	2	1.096704	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539882-16539905:+	1	0.548352	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	2	1.096704	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	5	2.741760	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	64	35.094530	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	487	267.047442	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	10	5.483520	N	mature,MIMAT0026472
