Ensembl Gene ID	Ensembl Transcript ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	EntrezGene ID	Strand	HGNC symbol
ENSG00000211774	ENST00000390422	14	21159897	21160560		1	
ENSG00000211775	ENST00000390423	14	21181033	21181646		1	
ENSG00000211776	ENST00000390424	14	21250394	21250906		1	
ENSG00000211777	ENST00000390425	14	21261976	21262408		1	
ENSG00000211778	ENST00000390426	14	21274341	21275104		1	
ENSG00000211779	ENST00000390427	14	21287314	21287829		1	
ENSG00000211780	ENST00000390428	14	21306633	21307160		1	
ENSG00000211781	ENST00000390429	14	21321050	21321560		1	
ENSG00000211782	ENST00000390430	14	21335431	21335898		1	
ENSG00000211783	ENST00000390431	14	21349514	21349989		1	
ENSG00000211784	ENST00000390432	14	21363512	21364079		1	
ENSG00000211785	ENST00000390433	14	21379262	21379796		1	
ENSG00000211786	ENST00000390434	14	21384784	21385243		1	
ENSG00000211787	ENST00000390435	14	21390575	21391023		1	
ENSG00000211788	ENST00000390436	14	21406883	21407386		1	
ENSG00000211789	ENST00000390437	14	21425979	21426520		1	
ENSG00000211790	ENST00000390438	14	21432581	21433054		1	
ENSG00000211791	ENST00000390439	14	21456273	21456771		1	
ENSG00000211792	ENST00000390440	14	21462154	21462667		1	
ENSG00000211793	ENST00000390441	14	21479209	21479688		1	
ENSG00000211794	ENST00000390442	14	21503576	21504135		1	
ENSG00000211795	ENST00000390443	14	21516759	21517200		1	
ENSG00000211796	ENST00000390444	14	21528575	21529017		1	
ENSG00000211797	ENST00000390445	14	21535765	21536247		1	
ENSG00000211798	ENST00000390446	14	21541290	21541750		1	
ENSG00000211799	ENST00000390447	14	21545708	21546260		1	
ENSG00000211800	ENST00000390448	14	21578749	21579239		1	
ENSG00000211801	ENST00000390449	14	21590620	21591155		1	
ENSG00000211802	ENST00000390450	14	21608793	21609311		1	
ENSG00000211803	ENST00000390451	14	21624569	21625078		1	
ENSG00000211804	ENST00000390452	14	21634167	21634736		1	
ENSG00000211805	ENST00000390453	14	21643460	21643963		1	
ENSG00000211806	ENST00000390454	14	21650216	21650824		1	
ENSG00000211807	ENST00000390455	14	21661325	21662083		1	
ENSG00000211808	ENST00000390456	14	21670355	21670834		1	
ENSG00000211809	ENST00000390457	14	21685886	21686427		1	
ENSG00000211810	ENST00000390458	14	21701085	21701606		1	
ENSG00000211811	ENST00000390459	14	21706165	21706724		1	
ENSG00000211812	ENST00000390460	14	21740317	21741102		1	
ENSG00000211813	ENST00000390461	14	21745270	21745865		1	
